[(547, 645), (3873, 1344), 'Forward', '45_45_196']
[(547, 650), (3873, 1344), 'Forward', '45_45_196']
[(547, 654), (3873, 1344), 'Forward', '45_45_196']
[(547, 658), (3873, 1344), 'Forward', '45_45_196']
[(547, 662), (3873, 1344), 'Forward', '45_45_196']
[(547, 666), (3873, 1344), 'Forward', '45_45_196']
[(547, 670), (3873, 1344), 'Forward', '45_45_196']
[(547, 674), (3873, 1344), 'Forward', '45_45_196']
[(547, 678), (3873, 1344), 'Forward', '45_45_196']
[(547, 682), (3873, 1344), 'Forward', '45_45_196']
[(547, 686), (3873, 1344), 'Forward', '45_45_196']
[(547, 690), (3873, 1344), 'Forward', '45_45_196']
[(547, 694), (3873, 1344), 'Forward', '45_45_196']
[(547, 698), (3873, 1344), 'Forward', '45_45_196']
[(547, 702), (3873, 1344), 'Forward', '45_45_196']
[(547, 706), (3873, 1344), 'Forward', '45_45_196']
[(547, 710), (3873, 1344), 'Forward', '45_45_196']
[(547, 714), (3873, 1344), 'Forward', '45_45_196']
[(547, 718), (3873, 1344), 'Forward', '45_45_196']
[(547, 722), (3873, 1344), 'Forward', '45_45_196']
[(547, 726), (3873, 1344), 'Forward', '45_45_196']
[(547, 730), (3873, 1344), 'Forward', '45_45_196']
[(547, 734), (3873, 1344), 'Forward', '45_45_196']
[(547, 738), (3873, 1344), 'Forward', '45_45_196']
[(547, 742), (3873, 1344), 'Forward', '45_45_196']
[(547, 746), (3873, 1344), 'Forward', '45_45_196']
[(547, 750), (3873, 1344), 'Forward', '45_45_196']
[(547, 754), (3873, 1344), 'Forward', '45_45_196']
[(547, 758), (3873, 1344), 'Forward', '45_45_196']
[(547, 762), (3873, 1344), 'Forward', '45_45_196']
[(547, 766), (3873, 1344), 'Forward', '45_45_196']
[(547, 770), (3873, 1344), 'Forward', '45_45_196']
[(547, 774), (3873, 1344), 'Forward', '45_45_196']
[(547, 778), (3873, 1344), 'Forward', '45_45_196']
[(547, 782), (3873, 1344), 'Forward', '45_45_196']
[(547, 786), (3873, 1344), 'Forward', '45_45_196']
[(547, 790), (3873, 1344), 'Forward', '45_45_196']
[(547, 794), (3873, 1344), 'Forward', '45_45_196']
[(547, 798), (3873, 1344), 'Forward', '45_45_196']
[(547, 802), (3873, 1344), 'Forward', '45_45_196']
[(547, 806), (3873, 1344), 'Forward', '45_45_196']
[(547, 810), (3873, 1344), 'Forward', '45_45_196']
[(547, 814), (3873, 1344), 'Forward', '45_45_196']
[(547, 818), (3873, 1344), 'Forward', '45_45_196']
[(547, 822), (3873, 1344), 'Forward', '45_45_196']
[(547, 826), (3873, 1344), 'Forward', '45_45_196']
[(547, 830), (3873, 1344), 'Forward', '45_45_196']
[(547, 834), (3873, 1344), 'Forward', '45_45_196']
[(547, 838), (3873, 1344), 'Forward', '45_45_196']
[(547, 842), (3873, 1344), 'Forward', '45_45_196']
[(547, 846), (3873, 1344), 'Forward', '45_45_196']
[(547, 850), (3873, 1344), 'Forward', '45_45_196']
[(547, 854), (3873, 1344), 'Forward', '45_45_196']
[(547, 858), (3873, 1344), 'Forward', '45_45_196']
[(547, 862), (3873, 1344), 'Forward', '45_45_196']
[(547, 866), (3873, 1344), 'Forward', '45_45_196']
[(547, 870), (3873, 1344), 'Forward', '45_45_196']
[(547, 874), (3873, 1344), 'Forward', '45_45_196']
[(547, 878), (3873, 1344), 'Forward', '45_45_196']
[(547, 882), (3873, 1344), 'Forward', '45_45_196']
[(547, 886), (3873, 1344), 'Forward', '45_45_196']
[(547, 890), (3873, 1344), 'Forward', '45_45_196']
[(547, 894), (3873, 1344), 'Forward', '45_45_196']
[(547, 898), (3873, 1344), 'Forward', '45_45_196']
[(547, 902), (3873, 1344), 'Forward', '45_45_196']
[(547, 906), (3873, 1344), 'Forward', '45_45_196']
[(547, 910), (3873, 1344), 'Forward', '45_45_196']
[(547, 914), (3873, 1344), 'Forward', '45_45_196']
[(547, 918), (3873, 1344), 'Forward', '45_45_196']
[(547, 922), (3873, 1344), 'Forward', '45_45_196']
[(547, 926), (3873, 1344), 'Forward', '45_45_196']
[(547, 930), (3873, 1344), 'Forward', '45_45_196']
[(547, 934), (3873, 1344), 'Forward', '45_45_196']
[(547, 938), (3873, 1344), 'Forward', '45_45_196']
[(547, 942), (3873, 1344), 'Forward', '45_45_196']
[(547, 946), (3873, 1344), 'Forward', '45_45_196']
[(547, 950), (3873, 1344), 'Forward', '45_45_196']
[(547, 954), (3873, 1344), 'Forward', '45_45_196']
[(547, 958), (3873, 1344), 'Forward', '45_45_196']
[(547, 962), (3873, 1344), 'Forward', '45_45_196']
[(547, 966), (3873, 1344), 'Forward', '45_45_196']
[(547, 970), (3873, 1344), 'Forward', '45_45_196']
[(547, 974), (3873, 1344), 'Forward', '45_45_196']
[(547, 978), (3873, 1344), 'Forward', '45_45_196']
[(547, 982), (3873, 1344), 'Forward', '45_45_196']
[(547, 986), (3873, 1344), 'Forward', '45_45_196']
[(547, 990), (3873, 1344), 'Forward', '45_45_196']
[(547, 994), (3873, 1344), 'Forward', '45_45_196']
[(547, 998), (3873, 1344), 'Forward', '45_45_196']
[(547, 1002), (3873, 1344), 'Forward', '45_45_196']
[(547, 1006), (3873, 1344), 'Forward', '45_45_196']
[(547, 1010), (3873, 1344), 'Forward', '45_45_196']
[(547, 1014), (3873, 1344), 'Forward', '45_45_196']
[(547, 1018), (3873, 1344), 'Forward', '45_45_196']
[(547, 1022), (3873, 1344), 'Forward', '45_45_196']
[(547, 1026), (3873, 1344), 'Forward', '45_45_196']
[(547, 1030), (3873, 1344), 'Forward', '45_45_196']
[(547, 1034), (3873, 1344), 'Forward', '45_45_196']
[(547, 1038), (3873, 1344), 'Forward', '45_45_196']
[(547, 1042), (3873, 1344), 'Forward', '45_45_196']
[(547, 1046), (3873, 1344), 'Forward', '45_45_196']
[(547, 1050), (3873, 1344), 'Forward', '45_45_196']
