[(818, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(821, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(822, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(825, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(826, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(829, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(830, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(833, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(834, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(837, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(837, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(841, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(841, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(845, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(845, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(849, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(849, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(850, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(853, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(854, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(857, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(858, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(861, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(862, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(865, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(866, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(869, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(870, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(873, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(874, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(877, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(878, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(881, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(882, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(885, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(886, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(889, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(890, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(893, 2976), (621, 2360), 'Turn Left', '187_60_96']
