[(616, 3761), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3765), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3769), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3773), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3776), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3780), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3784), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3788), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3792), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3796), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3800), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3804), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3808), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3812), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3816), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3820), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3824), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3828), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3832), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3836), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3840), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3844), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3848), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3852), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3856), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3860), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3864), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3868), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3872), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3876), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3880), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3884), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3888), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3892), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3896), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3900), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3904), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3908), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3912), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3916), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3920), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3924), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3928), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3932), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3936), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3940), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3944), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3948), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3952), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3956), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3960), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3964), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3968), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3972), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3976), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3980), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3984), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3988), (1186, 3622), 'Turn Left', '84_84_255']
[(616, 3992), (1186, 3622), 'Turn Left', '84_84_255']
[(639, 3069), (1193, 2936), 'Turn Left', '183_129_119']
[(640, 3089), (1193, 2936), 'Turn Left', '183_129_119']
[(818, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(818, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(821, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(821, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(822, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(822, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(825, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(825, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(826, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(826, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(829, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(829, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(830, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(830, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(833, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(833, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(834, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(834, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(837, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(837, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(837, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(837, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(841, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(841, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(841, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(841, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(845, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(845, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(845, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(845, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(849, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(849, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(849, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(849, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(850, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(850, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(853, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(853, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(854, 3663), (642, 3167), 'Turn Left', '87_127_214']
[(854, 3663), (607, 3168), 'Turn Left', '87_127_214']
[(857, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(857, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(858, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(858, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(861, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(861, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(862, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(862, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(865, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(865, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(866, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(866, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(869, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(869, 2976), (586, 2360), 'Turn Left', '187_60_96']
